"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2020","16.8","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2021","20.9","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2022","19.4","M","A","2023-10-08","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2017","20.8","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2018","16.9","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2019","12.1","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2020","22.5","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2021","17.6","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2022","19.1","M","A","2023-10-08","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2017","48.4","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2018","46.1","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2019","42.7","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2020","48.4","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2021","48.7","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2022","50.8","M","A","2023-10-08","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2017","35.1","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2018","34.6","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2019","34.3","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2020","40.9","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2021","41.8","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2022","44.2","M","A","2023-10-08","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2017","0.7","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2018","0.9","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2019","1.2","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2020","0.5","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2021","0.2","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2022","0.2","M","A","2023-10-08","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2017","7.3","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2018","16.4","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2019","19.8","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2020","15.4","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2021","15.1","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2022","9.2","M","A","2023-10-08","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2017","56.8","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2018","59.5","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2019","60.3","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2020","53","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2021","50.9","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2022","46.9","M","A","2023-10-08","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2017","1.5","M","A","2022-02-02","-","-"
