Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent
Bahamas,Beach litter count per km2 of coastline,2022,150771.2,E,A,2024-04-30,-,-,North America
Bangladesh,Beach litter count per km2 of coastline,2016,146784466.0,E,A,2022-05-19,-,-,Asia
Bangladesh,Beach litter count per km2 of coastline,2017,5784745.7,E,A,2022-05-19,-,-,Asia
Bangladesh,Beach litter count per km2 of coastline,2018,4008335.5,E,A,2022-05-19,-,-,Asia
Bangladesh,Beach litter count per km2 of coastline,2021,151389.0,E,A,2024-04-30,-,-,Asia
Bangladesh,Beach litter count per km2 of coastline,2022,1475831.6,E,A,2024-04-30,-,-,Asia
Barbados,Beach litter count per km2 of coastline,2016,1150074.8,E,A,2022-05-19,-,-,North America
Barbados,Beach litter count per km2 of coastline,2017,2376584.6,E,A,2022-05-19,-,-,North America
Barbados,Beach litter count per km2 of coastline,2018,2485.5,E,A,2022-05-19,-,-,North America
Barbados,Beach litter count per km2 of coastline,2022,130882.2,E,A,2024-04-30,-,-,North America
Belgium,Beach litter count per km2 of coastline,2015,15202898.6,E,A,2022-05-19,-,-,Europe
Belgium,Beach litter count per km2 of coastline,2016,270451.2,E,A,2022-05-19,-,-,Europe
Belgium,Beach litter count per km2 of coastline,2017,227315.8,E,A,2022-05-19,-,-,Europe
Belgium,Beach litter count per km2 of coastline,2018,19152.1,E,A,2022-05-19,-,-,Europe
Belgium,Beach litter count per km2 of coastline,2019,664536.1,E,A,2022-05-19,-,-,Europe
Belgium,Beach litter count per km2 of coastline,2021,69243.0,E,A,2024-04-30,-,-,Europe
Belize,Beach litter count per km2 of coastline,2016,1602168.8,E,A,2022-05-19,-,-,North America
Belize,Beach litter count per km2 of coastline,2017,988723.2,E,A,2022-05-19,-,-,North America
Belize,Beach litter count per km2 of coastline,2018,1180477.5,E,A,2022-05-19,-,-,North America
Belize,Beach litter count per km2 of coastline,2021,201125.2,E,A,2024-04-30,-,-,North America
Belize,Beach litter count per km2 of coastline,2022,233387.9,E,A,2024-04-30,-,-,North America
Bhutan,Beach litter count per km2 of coastline,2022,6213.7,E,A,2024-04-30,-,-,Asia
Bosnia and Herzegovina,Beach litter count per km2 of coastline,2016,1428110.9,E,A,2022-05-19,-,-,Europe
Brazil,Beach litter count per km2 of coastline,2015,5410679.8,E,A,2022-05-19,-,-,South America
Brazil,Beach litter count per km2 of coastline,2016,1563746.3,E,A,2022-05-19,-,-,South America
Brazil,Beach litter count per km2 of coastline,2017,1792396.9,E,A,2022-05-19,-,-,South America
Brazil,Beach litter count per km2 of coastline,2018,507292.0,E,A,2022-05-19,-,-,South America
Brazil,Beach litter count per km2 of coastline,2019,4741.2,E,A,2022-05-19,-,-,South America
Brazil,Beach litter count per km2 of coastline,2021,190846.3,E,A,2024-04-30,-,-,South America
Brazil,Beach litter count per km2 of coastline,2022,456643.7,E,A,2024-04-30,-,-,South America
Brunei Darussalam,Beach litter count per km2 of coastline,2016,796451.5,E,A,2022-05-19,-,-,Asia
Brunei Darussalam,Beach litter count per km2 of coastline,2017,204453.9,E,A,2022-05-19,-,-,Asia
Brunei Darussalam,Beach litter count per km2 of coastline,2018,88928.2,E,A,2022-05-19,-,-,Asia
Brunei Darussalam,Beach litter count per km2 of coastline,2022,16.1,C,A,2024-03-04,-,file,Asia
Brunei Darussalam,Beach litter count per km2 of coastline,2023,51.0,C,A,2024-03-04,-,file,Asia
Bulgaria,Beach litter count per km2 of coastline,2015,2178.3,C,A,2024-03-04,-,file,Europe
Bulgaria,Beach litter count per km2 of coastline,2016,1809.0,C,A,2024-03-04,-,file,Europe
Bulgaria,Beach litter count per km2 of coastline,2017,8674.3,C,A,2024-03-04,-,file,Europe
Bulgaria,Beach litter count per km2 of coastline,2018,2997.0,C,A,2024-03-04,-,-,Europe
Bulgaria,Beach litter count per km2 of coastline,2019,2561.7,C,A,2024-03-04,-,-,Europe
Bulgaria,Beach litter count per km2 of coastline,2020,2762.2,C,A,2024-03-04,-,-,Europe
Bulgaria,Beach litter count per km2 of coastline,2021,1049.9,C,A,2024-03-04,-,-,Europe
Bulgaria,Beach litter count per km2 of coastline,2022,782.5,C,A,2024-03-04,-,-,Europe
Cabo Verde,Beach litter count per km2 of coastline,2018,164925.8,E,A,2022-05-19,-,-,Africa
Cabo Verde,Beach litter count per km2 of coastline,2021,7981.3,E,A,2024-04-30,-,-,Africa
Cambodia,Beach litter count per km2 of coastline,2016,2909923.1,E,A,2022-05-19,-,-,Asia
Cambodia,Beach litter count per km2 of coastline,2017,6435404.9,E,A,2022-05-19,-,-,Asia
Cambodia,Beach litter count per km2 of coastline,2018,5243327.6,E,A,2022-05-19,-,-,Asia
Cambodia,Beach litter count per km2 of coastline,2021,311784.8,E,A,2024-04-30,-,-,Asia
Cameroon,Beach litter count per km2 of coastline,2018,84679624.2,E,A,2022-05-19,-,-,Africa
Cameroon,Beach litter count per km2 of coastline,2021,61982.3,E,A,2024-04-30,-,-,Africa
Cameroon,Beach litter count per km2 of coastline,2022,42967.3,E,A,2024-04-30,-,-,Africa
Canada,Beach litter count per km2 of coastline,2015,1524.9,E,A,2022-05-19,-,-,North America
Canada,Beach litter count per km2 of coastline,2016,194241.2,E,A,2022-05-19,-,-,North America
Canada,Beach litter count per km2 of coastline,2017,333326.8,E,A,2022-05-19,-,-,North America
Canada,Beach litter count per km2 of coastline,2018,328376.2,E,A,2022-05-19,-,-,North America
Canada,Beach litter count per km2 of coastline,2021,355421.6,E,A,2024-04-30,-,-,North America
Canada,Beach litter count per km2 of coastline,2022,163600.3,E,A,2024-04-30,-,-,North America
Chile,Beach litter count per km2 of coastline,2015,791304.3,E,A,2022-05-19,-,-,South America
Chile,Beach litter count per km2 of coastline,2016,703401.0,E,A,2022-05-19,-,-,South America
Chile,Beach litter count per km2 of coastline,2017,1295306.1,E,A,2022-05-19,-,-,South America
Chile,Beach litter count per km2 of coastline,2018,3741894.7,E,A,2022-05-19,-,-,South America
Chile,Beach litter count per km2 of coastline,2021,171062.0,E,A,2024-04-30,-,-,South America
Chile,Beach litter count per km2 of coastline,2022,159731.6,E,A,2024-04-30,-,-,South America
China,Beach litter count per km2 of coastline,2015,14219138.4,E,A,2022-05-19,-,-,Asia
China,Beach litter count per km2 of coastline,2016,114915.7,E,A,2022-05-19,-,-,Asia
China,Beach litter count per km2 of coastline,2017,278760.2,E,A,2022-05-19,-,-,Asia
China,Beach litter count per km2 of coastline,2018,134588.0,E,A,2022-05-19,-,-,Asia
China,Beach litter count per km2 of coastline,2021,2670201.0,E,A,2024-04-30,-,-,Asia
China,Beach litter count per km2 of coastline,2022,1008600.3,E,A,2024-04-30,-,-,Asia
Colombia,Beach litter count per km2 of coastline,2016,46909860.4,E,A,2022-05-19,-,-,South America
